Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DAL,Cooper Flagg,Duke,1,18,604,286,116,56,.451,.261,.793,33.6,15.9,6.4,3.1,0.7,.056,-1.7,0.1
2,2,SAS,Dylan Harper,Rutgers University,1,7,157,91,27,25,.472,.375,.850,22.4,13.0,3.9,3.6,0.4,.135,0.2,0.1
3,3,PHI,VJ Edgecombe,Baylor,1,15,560,234,90,63,.407,.366,.737,37.3,15.6,6.0,4.2,0.5,.045,-2.5,-0.1
4,4,CHO,Kon Knueppel,Duke,1,18,600,335,103,51,.476,.417,.884,33.3,18.6,5.7,2.8,1.0,.076,-0.1,0.3
5,5,UTA,Ace Bailey,Rutgers University,1,17,366,168,58,29,.448,.333,.842,21.5,9.9,3.4,1.7,0.2,.029,-3.7,-0.1
6,6,WAS,Tre Johnson,Texas,1,15,364,173,45,20,.445,.395,.813,24.3,11.5,3.0,1.3,-0.3,-.034,-4.8,-0.3
7,7,NOP,Jeremiah Fears,Oklahoma,1,19,508,287,61,52,.453,.365,.786,26.7,15.1,3.2,2.7,0.0,-.004,-3.4,-0.2
8,8,BRK,Egor Dёmin,BYU,1,16,355,122,54,55,.371,.346,.800,22.2,7.6,3.4,3.4,-0.1,-.010,-3.1,-0.1
9,9,TOR,Collin Murray-Boyles,South Carolina,1,14,256,99,42,15,.500,.450,.720,18.3,7.1,3.0,1.1,0.6,.105,-1.9,0.0
10,10,HOU,Khaman Maluach,Duke,1,8,38,13,6,1,.429,.000,.875,4.8,1.6,0.8,0.1,0.0,-.004,-9.1,-0.1
11,11,POR,Cedric Coward,Washington State,1,19,510,260,114,54,.466,.375,.864,26.8,13.7,6.0,2.8,1.3,.123,1.5,0.5
12,12,CHI,Noa Essengue,,1,2,6,0,0,0,.000,.000,,3.0,0.0,0.0,0.0,-0.1,-.419,-23.9,0.0
13,13,ATL,Derik Queen,Maryland,1,19,451,233,119,68,.492,.118,.779,23.7,12.3,6.3,3.6,0.5,.057,-0.2,0.2
14,14,SAS,Carter Bryant,Arizona,1,12,79,27,17,0,.294,.222,1.000,6.6,2.3,1.4,0.0,-0.2,-.102,-10.9,-0.2
15,15,OKC,Thomas Sorber,Georgetown,,,,,,,,,,,,,,,,,
16,16,MEM,Yang Hansen,,1,10,71,28,16,7,.313,.083,.875,7.1,2.8,1.6,0.7,-0.1,-.096,-8.1,-0.1
17,17,MIN,Joan Beringer,,1,9,37,18,12,0,.727,,.667,4.1,2.0,1.3,0.0,0.1,.160,-2.9,0.0
18,18,WAS,Walter Clayton,Florida,1,13,207,70,27,42,.377,.294,1.000,15.9,5.4,2.1,3.2,0.1,.019,-3.2,-0.1
19,19,BRK,Nolan Traoré,,1,4,35,7,1,5,.222,.333,.500,8.8,1.8,0.3,1.3,-0.1,-.090,-10.3,-0.1
20,20,MIA,Kasparas Jakucionis,Illinois,,,,,,,,,,,,,,,,,
21,21,UTA,Will Riley,Illinois,1,12,79,24,15,10,.417,.167,.500,6.6,2.0,1.3,0.8,0.0,-.014,-4.6,-0.1
22,22,ATL,Drake Powell,UNC,1,11,208,76,22,22,.509,.381,.923,18.9,6.9,2.0,2.0,0.2,.047,-2.5,0.0
23,23,IND,Asa Newell,Georgia,1,12,96,47,19,3,.471,.444,.778,8.0,3.9,1.6,0.3,0.3,.132,-1.7,0.0
24,24,OKC,Nique Clifford,Colorado State,1,15,250,60,41,28,.345,.296,.667,16.7,4.0,2.7,1.9,0.0,-.003,-4.8,-0.2
25,25,ORL,Jase Richardson,Michigan State,1,11,68,31,7,10,.478,.455,.800,6.2,2.8,0.6,0.9,0.2,.107,-1.1,0.0
26,26,BRK,Ben Saraf,,1,7,97,23,13,17,.259,.231,.750,13.9,3.3,1.9,2.4,-0.2,-.112,-9.5,-0.2
27,27,BRK,Danny Wolf,Michigan,1,3,8,2,2,2,.000,,1.000,2.7,0.7,0.7,0.7,0.0,.160,4.4,0.0
28,28,BOS,Hugo González,,1,14,157,35,25,10,.424,.455,.400,11.2,2.5,1.8,0.7,0.2,.069,-2.5,0.0
29,29,PHO,Liam McNeeley,UConn,1,12,161,49,26,12,.310,.357,.867,13.4,4.1,2.2,1.0,0.0,.015,-5.8,-0.2
30,30,LAC,Yanic Konan Niederhauser,Penn State,1,9,42,25,12,3,.714,,.625,4.7,2.8,1.3,0.3,0.2,.209,1.8,0.0
31,31,MIN,Rasheer Fleming,Saint Joseph's,1,9,53,16,13,2,.250,.167,1.000,5.9,1.8,1.4,0.2,0.0,-.030,-11.6,-0.1
