School,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,Player-additional
Duke,Cooper Flagg,2,FR,F,6-9,205,Newport ME,Nokomis Regional (ME); Montverde Academy (FL),1 (2024),19.2 Pts 7.5 Reb 4.2 Ast,cooper-flagg-1
Duke,Kon Knueppel,7,FR,G,6-7,217,Milwaukee WI,Wisconsin Lutheran (WI),14 (2024),14.4 Pts 4.0 Reb 2.7 Ast,kon-knueppel-1
Duke,Tyrese Proctor,5,JR,G,6-5,175,Sydney Australia,NBA Global Academy,97 (2022),12.4 Pts 3.0 Reb 2.2 Ast,tyrese-proctor-1
Duke,Sion James,14,SR,G,6-5,185,Buford GA,Lanier HS,,8.6 Pts 4.2 Reb 2.9 Ast,sion-james-1
Duke,Khaman Maluach,9,FR,C,7-2,250,Rumbek South Sudan,NBA Academy Africa (Senegal),51 (2024),8.6 Pts 6.6 Reb 0.5 Ast,khaman-maluach-1
Duke,Isaiah Evans,3,FR,G,6-6,175,Fayetteville NC,North Mecklenburg (NC),16 (2024),6.8 Pts 1.1 Reb 0.5 Ast,isaiah-evans-1
Duke,Caleb Foster,1,SO,G,6-5,197,Sherman Oaks CA,Oak Hill Academy (VA); Notre Dame (Sherman Oaks CA),17 (2023),4.9 Pts 1.7 Reb 1.4 Ast,caleb-foster-2
Duke,Mason Gillis,18,SR,F,6-6,230,New Castle IN,New Castle (IN),,4.1 Pts 2.6 Reb 0.8 Ast,mason-gillis-1
Duke,Patrick Ngongba,21,FR,C,6-11,250,Manassas VA,St. Paul VI (VA),24 (2024),3.9 Pts 2.7 Reb 0.8 Ast,patrick-ngongba-2
Duke,Maliq Brown,6,JR,F,6-8,213,Culpeper VA,Blue Ridge (VA),,2.5 Pts 3.7 Reb 1.5 Ast,maliq-brown-1
Duke,Darren Harris,8,FR,G,6-6,203,Herndon VA,St. Paul VI (VA),35 (2024),2.0 Pts 1.1 Reb 0.3 Ast,darren-harris-1
Duke,Spencer Hubbard,55,SR,G,5-8,160,Los Angeles CA,Harvard Westlake HS,,1.1 Pts 0.2 Reb 0.3 Ast,spencer-hubbard-1
Duke,Neal Begovich,20,SR,F,6-9,225,San Francisco CA,St. Ignatius College Prep,,0.6 Pts 0.8 Reb 0.2 Ast,neal-begovich-1
Duke,Cameron Sheffield,13,JR,G,6-6,180,ALpharetta GA,Chattahoochee HS,,0.4 Pts 0.4 Reb 0.2 Ast,cameron-sheffield-1
Duke,Stanley Borden,52,SR,C,7-0,240,Istanbul Türkiye,Istanbul Int'l Community School,,0.0 Pts 0.3 Reb 0.0 Ast,stanley-borden-1
Clemson,Chase Hunter,1,SR,G,6-3,204,Atlanta GA,Westlake HS,,16.5 Pts 3.0 Reb 2.5 Ast,chase-hunter-1
Clemson,Ian Schieffelin,4,SR,F,6-8,225,Loganville GA,Grayson HS,,12.4 Pts 9.4 Reb 2.7 Ast,ian-schieffelin-1
Clemson,Jaeden Zackery,11,SR,G,6-2,200,Salem WI,Westosha Central (WI),,11.7 Pts 3.3 Reb 3.1 Ast,jaeden-zackery-1
Clemson,Viktor Lakhin,0,SR,F,6-11,228,Anapa Russia,CSKA HS,,11.4 Pts 6.4 Reb 1.5 Ast,viktor-lakhin-1
Clemson,Chauncey Wiggins,7,JR,F,6-10,205,Grayson GA,Grayson (GA),,8.3 Pts 2.9 Reb 0.7 Ast,chauncey-wiggins-1
Clemson,Dillon Hunter,2,JR,G,6-3.5,193,Atlanta GA,Westlake (GA); Ypsi Prep (MI); Sunrise Christian (KS),100 (2022),5.4 Pts 2.5 Reb 1.9 Ast,dillon-hunter-1
Clemson,Jake Heidbreder,3,JR,G,6-5,180,Floyd Knobs IN,Floyd Central HS,,4.1 Pts 1.2 Reb 0.8 Ast,jake-heidbreder-1
Clemson,Del Jones,10,FR,G,6-2,187,Landover MD,Huntington Prep (WV); AZ Compass Prep (AZ),,3.8 Pts 1.5 Reb 1.0 Ast,del-jones-1
Clemson,Myles Foster,6,SR,F,6-7,230,Brooklyn NY,Brooks HS,,2.3 Pts 1.5 Reb 0.1 Ast,myles-foster-1
Clemson,Christian Reeves,14,SO,C,7-1,245,Charlotte NC,Oak Hill Academy (VA),,1.2 Pts 1.5 Reb 0.2 Ast,christian-reeves-1
Clemson,Asa Thomas,5,FR,F,6-8,185,Lake Forest IL,Lake Forest (IL),,1.2 Pts 0.2 Reb 0.2 Ast,asa-thomas-1
Clemson,Matt Kelly,20,SR,G,6-1,172,Charleston SC,Porter-Gaud (SC),,0.5 Pts 0.3 Reb 0.0 Ast,matt-kelly-1
Clemson,Daniel Nauseef,32,SR,F,6-7,215,Dayton OH,Chaminade Julienne Catholic HS,,0.1 Pts 0.0 Reb 0.1 Ast,daniel-nauseef-1
Clemson,Andrew Latiff,13,SR,G,6-4,184,Clemson SC,Daniel (SC),,0.0 Pts 0.0 Reb 0.0 Ast,andrew-latiff-1
Clemson,Jackson Roberts,35,FR,C,6-11,247,Tampa FL,IMG Academy (FL),,0.0 Pts 0.3 Reb 0.0 Ast,jackson-roberts-1
SMU,Chuck Harris,3,SR,G,6-2,190,Washington DC,Gonzaga College HS,,12.9 Pts 2.9 Reb 2.7 Ast,chuck-harris-2
SMU,Matt Cross,33,SR,F,6-7,225,Beverly MA,Brewster Academy HS,90 (2020),11.8 Pts 7.6 Reb 1.7 Ast,matt-cross-1
SMU,Kario Oquendo,8,JR,G,6-4,210,Titusville FL,Titusville (FL); Astronaut (FL),,11.2 Pts 3.3 Reb 1.0 Ast,kario-oquendo-1
SMU,Kevin Miller,2,SO,G,6-0,165,Chicago IL,Victory Rock Prep (FLA.),,13.2 Pts 2.9 Reb 5.5 Ast,kevin-miller-3
SMU,B.J. Edwards,0,JR,G,6-3,188,Knoxville TN,Knoxville Catholic (TN),,9.9 Pts 4.7 Reb 3.7 Ast,bj-edwards-2
SMU,Samet Yigitoglu,24,FR,C,7-2,265,Istanbul TÃ¼rkiye,Beşiktaş (Türkiye),,10.0 Pts 6.2 Reb 1.0 Ast,samet-yigitoglu-1
SMU,Yohan Traore,21,SO,F,6-10,225,Tours France,Prolific Prep (CA); Dream City Christian (AZ),23 (2022),6.1 Pts 3.2 Reb 0.4 Ast,yohan-traore-1
SMU,Keon Ambrose-Hylton,22,SR,F,6-8,210,Toronto Canada,Andrew's Osborne Academy,,4.0 Pts 2.5 Reb 0.5 Ast,keon-ambrose-hylton-1
SMU,Jerrell Colbert,20,SO,C,6-10,216,Houston TX,Houston HS,82 (2021),2.5 Pts 1.8 Reb 0.3 Ast,jerrell-colbert-1
SMU,Tibet Gorener,5,SR,F,6-9,200,Istanbul Türkiye,Orange Lutheran HS,,1.6 Pts 0.8 Reb 0.2 Ast,tibet-gorener-1
SMU,AJ George,10,SO,F,6-6,190,Fresno CA,Hoover HS,,2.0 Pts 1.0 Reb 0.2 Ast,aj-george-1
SMU,Jackson Young,35,SR,G,6-2,190,Kerrville TX,Tivy (TX),,1.3 Pts 0.0 Reb 0.0 Ast,jackson-young-1
SMU,Trey Utter,31,JR,G,6-0,160,Argyle TX,Argyle (TX),,0.0 Pts 0.0 Reb 0.2 Ast,trey-utter-1
Wake Forest,Hunter Sallis,23,SR,G,6-5,175,Omaha NE,Millard North HS,15 (2021),18.3 Pts 5.1 Reb 2.8 Ast,hunter-sallis-1
Wake Forest,Cameron Hildreth,6,SR,G,6-4,195,Worthing United Kingdom,Barking Abbey (England),,14.7 Pts 3.8 Reb 2.7 Ast,cameron-hildreth-1
Wake Forest,Tre'Von Spillers,25,SR,F,6-7,205,Charleston SC,Military Magnet Academy (SC),,9.9 Pts 7.6 Reb 0.8 Ast,trevon-spillers-1
Wake Forest,Efton Reid,4,SR,C,6-11,238,Richmond VA,IMG Academy,24 (2021),8.8 Pts 6.6 Reb 1.0 Ast,efton-reid-1
Wake Forest,Juke Harris,2,FR,F,6-7,200,Salisbury NC,Salisbury (NC),88 (2024),6.1 Pts 2.8 Reb 0.3 Ast,juke-harris-1
Wake Forest,Ty-Laur Johnson,8,SO,G,6-0,160,Brooklyn NY,St. Benedict's Prep (NJ); Our Savior Lutheran (NY),86 (2023),6.1 Pts 1.9 Reb 2.7 Ast,ty-laur-johnson-2
Wake Forest,Parker Friedrichsen,7,SO,G,6-3,195,Bixby OK,Bixby (OK),,3.2 Pts 1.0 Reb 0.6 Ast,parker-friedrichsen-1
Wake Forest,Davin Cosby,1,SO,G,6-5,205,Richmond VA,Word of God Christian Academy (NC),,5.6 Pts 1.4 Reb 0.9 Ast,davin-cosby-jr-1
Wake Forest,Omaha Biliew,0,SO,F,6-8,225,Waukee IA,Dowling Catholic (IA); Waukee (IA); Link Year Prep (MO),11 (2023),2.8 Pts 1.5 Reb 0.5 Ast,omaha-biliew-2
Wake Forest,Churchill Abass,55,SO,C,6-9,240,Benin City Nigeria,NBA Academy Africa (Senegal),,1.3 Pts 1.6 Reb 0.2 Ast,churchill-abass-1
Wake Forest,Kevin Dunn,51,SR,G,6-2,205,Winston-Salem NC,Choate Rosemary Hall HS,,0.0 Pts 0.0 Reb 0.0 Ast,kevin-dunn-2
Wake Forest,RJ Kennah,40,SR,G,6-5,180,Parker CO,Kent Denver HS,,0.0 Pts 0.0 Reb 0.0 Ast,rj-kennah-1
Wake Forest,Owen Kmety,44,JR,F,6-6,180,Chicago IL,La Lumiere (IN),,0.0 Pts 0.0 Reb 0.0 Ast,owen-kmety-1
UNC,RJ Davis,4,SR,G,6-0,160,White Plains NY,Archbishop Stepinac HS,43 (2020),17.2 Pts 3.4 Reb 3.6 Ast,rj-davis-1
UNC,Ian Jackson,11,FR,G,6-4,190,Bronx NY,Our Savior Lutheran (NY),6 (2024),11.9 Pts 2.7 Reb 0.9 Ast,ian-jackson-1
UNC,Seth Trimble,7,JR,G,6-3,192,Menomonee Falls WI,Menomonee Falls (WI),36 (2022),11.6 Pts 5.0 Reb 1.3 Ast,seth-trimble-1
UNC,Elliot Cadeau,3,SO,G,6-1,180,West Orange NJ,Bergen Catholic (NJ); Link Academy (MO),,9.4 Pts 2.9 Reb 6.2 Ast,elliot-cadeau-1
UNC,Ven-Allen Lubin,22,JR,F,6-8,226,Orlando FL,Orlando Christian (FL),62 (2022),8.7 Pts 5.5 Reb 0.3 Ast,ven-allen-lubin-1
UNC,Drake Powell,9,FR,G,6-6,195,Pittsboro NC,Northwood (NC),11 (2024),7.4 Pts 3.4 Reb 1.1 Ast,drake-powell-1
UNC,Jae'lyn Withers,24,SR,F,6-8,230,Charlotte NC,Cleveland Heights HS,,6.5 Pts 4.5 Reb 0.7 Ast,jaelyn-withers-1
UNC,Jalen Washington,13,JR,F,6-10,225,Gary IN,West Side (IN),49 (2022),5.7 Pts 4.2 Reb 0.5 Ast,jalen-washington-1
UNC,Cade Tyson,5,JR,F,6-7,200,Monroe NC,Carmel Christian (NC),,2.6 Pts 1.1 Reb 0.1 Ast,cade-tyson-1
UNC,Tyzhaun Claude,0,SR,F,6-8,240,Goldsboro NC,Goldsboro (NC),,1.2 Pts 1.6 Reb 0.1 Ast,tyzhaun-claude-1
UNC,James Brown,2,FR,F,6-10,215,Aurora IL,St. Rita HS (IL); Link Academy (MO),93 (2024),1.2 Pts 0.8 Reb 0.0 Ast,james-brown-12
UNC,Dante Mayo,30,FR,G,6-1,175,Gaithersburg MD,Richard Montgomery (MD),,0.8 Pts 0.1 Reb 0.0 Ast,dante-mayo-jr-1
UNC,Russell Hawkins,14,SO,G,6-1,175,Charlotte NC,Mallard Creek (NC),,0.2 Pts 0.1 Reb 0.6 Ast,russell-hawkins-1
UNC,John Holbrook,15,FR,F,6-8,230,Hickory NC,Hickory (NC),,0.3 Pts 0.5 Reb 0.0 Ast,john-holbrook-1
Stanford,Maxime Raynaud,42,SR,F,7-1,235,Paris France,Lycee Henrie IV HS,,20.2 Pts 10.6 Reb 1.7 Ast,maxime-raynaud-1
Stanford,Oziyah Sellers,4,JR,G,6-5,185,Hayward CA,Southern California Academy (CA),,13.7 Pts 2.8 Reb 1.3 Ast,oziyah-sellers-1
Stanford,Jaylen Blakes,21,SR,G,6-1,208,Somerset NJ,Blair Academy HS,,13.1 Pts 2.9 Reb 4.7 Ast,jaylen-blakes-1
Stanford,Ryan Agarwal,11,SO,G,6-6,190,Coppell TX,Coppell (TX),,7.3 Pts 4.9 Reb 2.1 Ast,ryan-agarwal-1
Stanford,Chisom Okpara,10,JR,F,6-8,225,Bronxville NY,Brunswick School (CT); Vermont Academy (VT); La Lumiere (IN),,6.5 Pts 2.0 Reb 1.0 Ast,chisom-okpara-1
Stanford,Benny Gealer,5,JR,G,6-1,160,San Pedro CA,Rolling Hills Prep (CA),,6.0 Pts 1.7 Reb 2.0 Ast,benny-gealer-1
Stanford,Aidan Cammann,52,FR,F,6-10,220,Andover MA,Andover (MA); Brewster Academy (NH),,2.6 Pts 2.7 Reb 1.0 Ast,aidan-cammann-1
Stanford,Donavin Young,2,FR,F,6-8,215,Pasco WA,Chiawana (WA); Link Academy (MO),,3.2 Pts 2.5 Reb 0.1 Ast,donavin-young-1
Stanford,Evan Stinson,33,FR,F,6-7,195,Cheney WA,Cheney (WA),,2.9 Pts 1.3 Reb 0.4 Ast,evan-stinson-1
Stanford,Jaylen Thompson,24,SO,F,6-8,195,Oakland CA,St. Joseph's Notre Dame (CA); Southern California Academy (CA),,1.4 Pts 1.1 Reb 0.1 Ast,jaylen-thompson-1
Stanford,Anthony Batson,0,FR,G,6-3,190,Scottsdale AZ,Notre Dame Prep (AZ),,1.0 Pts 0.5 Reb 0.3 Ast,anthony-batson-jr-1
Stanford,Cameron Grant,20,FR,F,6-7,185,Lakewood OH,St. Edward (OH),,1.8 Pts 1.3 Reb 0.4 Ast,cameron-grant-2
Stanford,Tallis Toure,3,FR,F,6-11,230,Roseville CA,West Park (CA),,1.1 Pts 0.6 Reb 0.2 Ast,tallis-toure-1
Stanford,Derin Saran,1,SO,G,6-4,190,Istanbul Türkiye,The Asheville School (NC),,0.6 Pts 0.6 Reb 0.2 Ast,derin-saran-1
Stanford,Cole Kastner,9,SR,F,6-7,220,Palo Alto CA,Menlo School (CA),,0.0 Pts 0.4 Reb 0.0 Ast,cole-kastner-1
Georgia Tech,Baye Ndongo,11,SO,F,6-9,214,Mboro Senegal,Darrow School (NY); Denver (CO); Putnam Science Academy (CT),,13.4 Pts 8.9 Reb 1.6 Ast,baye-ndongo-1
Georgia Tech,Lance Terry,0,SR,G,6-2,180,Newnan GA,The Heritage School,,14.5 Pts 3.2 Reb 1.6 Ast,lance-terry-1
Georgia Tech,Naithan George,1,SO,G,6-3,180,Toronto Canada,Dream City Christian School (AZ),,12.3 Pts 4.2 Reb 6.5 Ast,naithan-george-1
Georgia Tech,Duncan Powell,31,JR,F,6-8,225,Dallas TX,Desoto HS,,12.2 Pts 5.4 Reb 0.8 Ast,duncan-powell-1
Georgia Tech,Javian McCollum,2,SR,G,6-1,170,Fort Myers FL,Fort Myers HS,,11.9 Pts 2.7 Reb 3.6 Ast,javian-mccollum-1
Georgia Tech,Jaeden Mustaf,3,FR,G,6-5,210,Bowie MD,DeMatha Catholic (MD); Carmel Christian (NC); Overtime Elite (GA),57 (2024),8.3 Pts 3.1 Reb 1.6 Ast,jaeden-mustaf-1
Georgia Tech,Ibrahim Souare,30,FR,F,6-9,214,Conarky Guinea,Dream City Christian School (AZ),,2.8 Pts 3.6 Reb 0.2 Ast,ibrahim-souare-1
Georgia Tech,Luke O'Brien,9,SR,G,6-7,200,Littleton CO,Columbine HS,,6.4 Pts 4.4 Reb 0.6 Ast,luke-obrien-1
Georgia Tech,Kowacie Reeves,14,SR,G,6-6,182,Macon GA,Westside HS,45 (2021),9.3 Pts 2.5 Reb 1.0 Ast,kowacie-reeves-1
Georgia Tech,Doryan Onwuchekwa,45,FR,C,6-11,240,Dallas TX,Oak Cliff Faith Family Academy (TX),,3.5 Pts 4.9 Reb 0.8 Ast,doryan-onwuchekwa-1
Georgia Tech,Ryan Mutombo,12,SR,C,7-2,252,Atlanta GA,The Lovett School,,2.3 Pts 2.5 Reb 0.2 Ast,ryan-mutombo-1
Georgia Tech,Darrion Sutton,10,FR,F,6-8,205,St. Charles MO,Gateway City Elite (MO); Accelerated Prep (CO); Overtime Elite (GA),94 (2024),1.3 Pts 1.6 Reb 0.6 Ast,darrion-sutton-1
Georgia Tech,Emmer Nichols,35,JR,F,6-6,219,Woodside CA,Sacred Heart Prep (CA),,0.8 Pts 0.3 Reb 0.0 Ast,emmer-nichols-1
Georgia Tech,Marcos San Miguel,33,SO,G,6-4,190,Atlanta GA,Campbell (GA),,0.8 Pts 0.0 Reb 0.0 Ast,marcos-san-miguel-1
Florida State,Jamir Watkins,1,SR,F,6-7,210,Trenton NJ,Trenton Catholic HS,,18.4 Pts 5.7 Reb 2.4 Ast,jamir-watkins-1
Florida State,Malique Ewin,12,SO,F,6-10,220,Lawrenceville GA,Berkmar (GA),95 (2022),14.2 Pts 7.6 Reb 1.7 Ast,malique-ewin-1
Florida State,Daquan Davis,5,FR,G,6-1,176,Baltimore MD,St. Frances School (MD); St. John's (DC); Overtime Elite RWE (GA),,8.8 Pts 2.3 Reb 2.5 Ast,daquan-davis-1
Florida State,Taylor Bol Bowen,10,SO,F,6-10,195,Jericho VT,St. George School (RI); Brewster Academy (NH),71 (2023),8.0 Pts 5.2 Reb 0.8 Ast,taylor-bol-bowen-1
Florida State,Jerry Deng,7,SO,F,6-9,220,Norcross GA,Norcross (GA),,7.0 Pts 1.9 Reb 0.5 Ast,jerry-deng-1
Florida State,Chandler Jackson,0,JR,G,6-5,215,Memphis TN,Christian Brothers (TN),83 (2022),6.3 Pts 2.1 Reb 2.0 Ast,chandler-jackson-1
Florida State,Justin Thomas,25,SR,G,6-7,179,Baton Rouge LA,St. Thomas Aquinas (LA); Village Christian (NC),,4.8 Pts 2.3 Reb 1.7 Ast,justin-thomas-5
Florida State,Bostyn Holt,3,SR,F,6-6,199,Portland OR,Roosevelt (OR); Elite Prep (WA),,3.0 Pts 1.3 Reb 1.2 Ast,bostyn-holt-1
Florida State,Alier Maluk,21,FR,F,7-0,218,Baldwin PA,Imani Christian (PA); Long Island Lutheran (NY),,2.7 Pts 2.0 Reb 0.2 Ast,alier-maluk-1
Florida State,AJ Swinton,19,FR,F,6-6,200,Cabin John MD,DeMatha (MD); Oak Hill Academy (VA); Bishop O'Connell (VA),,2.8 Pts 1.4 Reb 0.4 Ast,aj-swinton-1
Florida State,Christian Nitu,11,FR,F,6-11,220,Whitby Canada,Fort Erie International Academy (ON),,1.9 Pts 1.3 Reb 0.2 Ast,christian-nitu-1
Florida State,Anastasios Rozakeas,9,FR,G,6-7,225,Athens Greece,Olympiakos (Greece),,0.5 Pts 0.3 Reb 0.2 Ast,anastasios-rozakeas-1
Florida State,Waka Mbatch,35,SO,F,6-10,203,Serekunda Gambia,Kotu Secondary School (Gambia),,0.8 Pts 0.8 Reb 0.0 Ast,waka-mbatch-1
Florida State,Jason Simpson,4,SR,G,5-10,155,West Palm Beach FL,Montverde Academy,,0.4 Pts 0.0 Reb 0.0 Ast,jason-simpson-1
Florida State,Jalen Crawford,15,FR,G,6-0,145,Tallahassee FL,Maclay School (FL),,0.0 Pts 0.0 Reb 0.0 Ast,jalen-crawford-2
Florida State,Jesse Jones,43,JR,G,6-4,195,Clermont FL,Montverde Academy (FL),,0.0 Pts 0.0 Reb 0.0 Ast,jesse-jones-1
Pitt,Jaland Lowe,15,SO,G,6-2,170,Missouri City TX,Fort Bend Marshall (TX),97 (2023),16.8 Pts 4.2 Reb 5.5 Ast,jaland-lowe-2
Pitt,Ishmael Leggett,5,SR,G,6-2,180,Washington DC,St. John's College (DC),,15.7 Pts 5.9 Reb 2.5 Ast,ishmael-leggett-1
Pitt,Cameron Corhen,2,JR,F,6-10,225,Allen TX,John Paul II (TX); Sunrise Christian (KS),81 (2022),11.0 Pts 5.2 Reb 0.9 Ast,cameron-corhen-1
Pitt,Zack Austin,55,SR,F,6-4,175,Winston-Salem NC,Moravian Preparatory School,,9.2 Pts 4.7 Reb 0.7 Ast,zach-austin-1
Pitt,Guillermo Diaz Graham,25,JR,F,7-0,205,Canary Islands Spain,IMG Academy (FL),,6.2 Pts 5.0 Reb 1.5 Ast,guillermo-diaz-graham-1
Pitt,Brandin Cummings,3,FR,G,6-3,170,Midland PA,Lincoln Park (PA),,6.3 Pts 1.6 Reb 0.8 Ast,brandin-cummings-1
Pitt,Damian Dunn,1,SR,G,6-5,165,Kinston NC,Meadowcreek HS,,9.9 Pts 2.7 Reb 1.9 Ast,damian-dunn-1
Pitt,Jorge Diaz Graham,31,JR,F,6-11,190,Canary Islands Spain,IMG Academy (FL),,3.1 Pts 0.9 Reb 0.2 Ast,jorge-diaz-graham-1
Pitt,Amsal Delalić,52,FR,G,6-7,210,Tuzla Bosnia and Herzegovina,SKK Borac (Bosnia and Herzegovina),,3.8 Pts 2.0 Reb 0.7 Ast,amsal-delalic-1
Pitt,Papa Amadou Kante,4,FR,F,6-10,235,Dakar Senegal,South Kent Prep (CT),84 (2023),2.1 Pts 1.1 Reb 0.2 Ast,papa-amadou-kante-1
Pitt,Marlon Barnes,11,FR,F,6-6,190,Cleveland OH,Ypsi Prep (MI); Brush (OH),,0.4 Pts 0.3 Reb 0.3 Ast,marlon-barnes-jr-1
Pitt,Amdy Ndiaye,0,FR,F,6-10,205,Dakar Senegal,Putnam Science Academy (CT),,0.3 Pts 0.8 Reb 0.0 Ast,amdy-ndiaye-1
Pitt,Vason Stevenson,21,JR,F,6-3,190,McKees Rocks PA,Montour (PA),,2.0 Pts 0.0 Reb 0.0 Ast,vason-stevenson-1
